,name,price,original_price,rating,reviews,color,storage
0,Galaxy S26 Ultra,₹130999.00,MRP: ₹139999.00 (Incl. of all taxes),4.8,"9,150",Cobalt Violet,256 GB
1,Galaxy S26+,₹94999.00,MRP: ₹119999.00 (Incl. of all taxes),4.8,"1,918",Black,256 GB
2,Galaxy S26,₹99999.00,MRP: ₹107999.00 (Incl. of all taxes),4.8,"2,231",Cobalt Violet,512 GB
3,Galaxy S26 Ultra (Special Colour),₹150999.00,MRP: ₹159999.00 (Incl. of all taxes),4.8,"9,150",Pinkgold,512 GB
4,Galaxy S26+ (Special Colour),₹94999.00,MRP: ₹119999.00 (Incl. of all taxes),4.8,"1,918",Pinkgold,256 GB
5,Galaxy S26 (Special Colour),₹99999.00,MRP: ₹107999.00 (Incl. of all taxes),4.8,"2,231",Pinkgold,512 GB
6,Galaxy A57 5G (12 GB Memory),₹57999.00,MRP: ₹62999.00 (Incl. of all taxes),,,Awesome Lilac,256 GB
7,Galaxy A57 5G (8 GB Memory),₹53999.00,MRP: ₹58999.00 (Incl. of all taxes),,,Awesome Navy,256 GB
8,Galaxy A37 5G (12 GB Memory),₹52999.00,MRP: ₹53999.00 (Incl. of all taxes),,,Awesome Lavender,256 GB
9,Galaxy A37 5G (8 GB Memory),₹41999.00,MRP: ₹45999.00 (Incl. of all taxes),,,Awesome Lavender,128 GB
10,Galaxy M17e 5G (6 GB Memory),₹17499.00,MRP: ₹20999.00 (Incl. of all taxes),,,Vibe Violet,128 GB
11,Galaxy M17e 5G (4 GB Memory),₹15499.00,MRP: ₹18999.00 (Incl. of all taxes),,,Blitz Blue,128 GB
12,Galaxy A07 5G (6 GB Memory),₹17999.00,MRP: ₹22999.00 (Incl. of all taxes),,,Light Green,128 GB
13,Galaxy A07 5G (4 GB Memory),₹15999.00,MRP: ₹20999.00 (Incl. of all taxes),,,Light Green,128 GB
14,Galaxy F70e 5G (6 GB Memory),₹17499.00,MRP: ₹20999.00 (Incl. of all taxes),,,Spotlight Blue,128 GB
15,Galaxy F70e 5G (4 GB Memory),₹15499.00,MRP: ₹18999.00 (Incl. of all taxes),,,Limelight Green,128 GB
16,Galaxy S25 Ultra (Special Colour),₹99999.00,MRP: ₹129999.00 (Incl. of all taxes),4.8,"9,999+",Titanium Jetblack,256 GB
17,Galaxy S25 (Special Colour),₹62999.00,MRP: ₹94999.00 (Incl. of all taxes),4.8,"9,999+",Blueblack,256 GB
18,Galaxy Z Fold7 (Special Colour),₹174999.00,MRP: ₹174999.00 (Incl. of all taxes),4.7,"5,116",Mint,256 GB
19,Galaxy A36 5G (8 GB Memory),₹33999.00,MRP: ₹39499.00 (Incl. of all taxes),4.2,854,Awesome Lavender,128 GB
20,Galaxy A56 5G (12 GB Memory),₹50499.00,MRP: ₹59999.00 (Incl. of all taxes),4.4,892,Awesome Graphite,256 GB
21,Galaxy Z Fold7,₹174999.00,MRP: ₹174999.00 (Incl. of all taxes),4.7,"5,117",Jetblack,256 GB
22,Galaxy M17 5G (6 GB Memory),₹18999.00,MRP: ₹23999.00 (Incl. of all taxes),,,Moonlight Silver,128 GB
23,Galaxy S25,₹62999.00,MRP: ₹94999.00 (Incl. of all taxes),4.8,"9,999+",Icyblue,256 GB
24,Galaxy M36 5G (6 GB Memory),₹21999.00,MRP: ₹26999.00 (Incl. of all taxes),,,Serene Green,128 GB
25,Galaxy M17 5G (4 GB Memory),₹16999.00,MRP: ₹20999.00 (Incl. of all taxes),,,Moonlight Silver,128 GB
26,Galaxy S25 Ultra,₹99999.00,MRP: ₹129999.00 (Incl. of all taxes),4.8,"9,999+",Titanium Gray,256 GB
27,Galaxy S25 Certified Re-Newed,₹58749.00,MRP: ₹80999.00 (Incl. of all taxes),4.4,234,Silver Shadow,256 GB
28,Galaxy S25 Ultra Certified Re-Newed,₹97499.00,MRP: ₹129999.00 (Incl. of all taxes),4.4,586,Titanium Silverblue,256 GB
29,Galaxy A17 5G (8 GB Memory),₹22499.00,MRP: ₹29999.00 (Incl. of all taxes),,,Blue,128 GB
30,Galaxy A17 5G (6 GB Memory),₹20499.00,MRP: ₹26999.00 (Incl. of all taxes),,,Black,128 GB
31,Galaxy M17 5G (8 GB Memory),₹20999.00,MRP: ₹26999.00 (Incl. of all taxes),,,Sapphire Black,128 GB
32,Galaxy A07 (4 GB Memory),₹10999.00,MRP: ₹12999.00 (Incl. of all taxes),,,Green,64 GB
33,Galaxy M07 (4 GB Memory),₹10399.00,MRP: ₹11999.00 (Incl. of all taxes),,,Black,64 GB
34,Galaxy F36 5G (8 GB Memory),₹23999.00,MRP: ₹29999.00 (Incl. of all taxes),,,Luxe Violet,128 GB
35,Galaxy F36 5G (6 GB Memory),₹21999.00,MRP: ₹26999.00 (Incl. of all taxes),,,Coral Red,128 GB
36,Galaxy Z Flip7,₹109999.00,MRP: ₹109999.00 (Incl. of all taxes),4.6,"2,230",Blue Shadow,256 GB
37,Galaxy Z Flip7 (Special Colour),₹109999.00,MRP: ₹109999.00 (Incl. of all taxes),4.6,"2,230",Mint,256 GB
38,Galaxy Z Flip7 FE,₹89999.00,MRP: ₹89999.00 (Incl. of all taxes),4.6,83,Black,128 GB
39,Galaxy M36 5G (8 GB Memory),₹23999.00,MRP: ₹29999.00 (Incl. of all taxes),,,Serene Green,128 GB
